,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T5,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T6,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T7,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T8,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T9,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T10,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T11,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T12,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T13,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T14,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T15,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T16,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T17,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T18,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T19,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T20,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T21,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T22,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T23,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T24,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T25,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T26,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T27,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T28,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T29,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T30,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14323.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020T14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
