,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T36,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T37,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T38,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T39,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T40,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T41,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T42,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T43,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T44,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T45,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T46,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T47,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T48,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T1,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T2,5.0,75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,60.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T3,5.0,75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,60.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T4,5.0,75.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.96,-0.66,60.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
