,VOLUMN1,VOLUMN2,VOLUMN3,VOLUMN4,VOLUMN5,VOLUMN6,VOLUMN7,VOLUMN8,VOLUMN9,VOLUMN10,PRICE1,PRICE2,PRICE3,PRICE4,PRICE5,PRICE6,PRICE7,PRICE8,PRICE9,PRICE10
20171018T31,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T32,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T33,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T34,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T35,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T36,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T37,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T38,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T39,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T40,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T41,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T42,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T43,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T44,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T45,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T46,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T47,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171018T48,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T1,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T2,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T3,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T4,45.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T5,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T6,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T7,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T8,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T9,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T10,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T11,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T12,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T13,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T14,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T15,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T16,45.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.71,-0.63,104.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T17,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171019T18,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
